Final_ID,Source_IND_ID,Sex,Sex_status
IND001,IND001,M,consistent_available_calls
IND002,IND002,F,consistent_available_calls
IND003,IND003,U,no_sex_call
IND004,IND004,F,consistent_available_calls
IND005,IND005,F,consistent_available_calls
IND006,IND006,F,consistent_available_calls
IND007,IND007,U,conflicting_calls
IND008,IND008,F,consistent_available_calls
IND009,IND009,U,no_sex_call
IND010,IND010,U,conflicting_calls
IND011,IND011,F,consistent_available_calls
IND012,IND012,F,consistent_available_calls
IND013,IND013,M,consistent_available_calls
IND014,IND014,U,no_sex_call
IND015,IND015,F,consistent_available_calls
IND016,IND016,F,consistent_available_calls
IND017,IND017,U,no_sex_call
IND018,IND018,U,no_sex_call
IND019,IND019,F,consistent_available_calls
IND021,IND021,F,consistent_available_calls
IND022,IND022,F,consistent_available_calls
IND023,IND023,M,consistent_available_calls
IND024,IND024,F,consistent_available_calls
IND025,IND025,F,consistent_available_calls
IND026,IND026,M,consistent_available_calls
IND027,IND027,F,consistent_available_calls
IND028,IND028,M,consistent_available_calls
IND029,IND029,U,no_sex_call
IND030,IND030,M,consistent_available_calls
IND031,IND031,F,consistent_available_calls
IND032,IND032,F,consistent_available_calls
IND033,IND033,U,no_sex_call
IND034,IND034,M,consistent_available_calls
IND035,IND035,U,no_sex_call
IND036,IND036,M,consistent_available_calls
IND037,IND037,F,consistent_available_calls
IND038,IND038,F,consistent_available_calls
IND039,IND039,U,no_sex_call
IND040,IND040,U,no_sex_call
IND041,IND041,M,consistent_available_calls
IND042,IND042,M,consistent_available_calls
IND043,IND043,F,consistent_available_calls
IND044,IND044,F,consistent_available_calls
IND045,IND045,M,consistent_available_calls
IND046,IND046,F,consistent_available_calls
IND047,IND047,U,no_sex_call
IND048,IND048,U,no_sex_call
IND049,IND049,M,consistent_available_calls
IND050,IND050,M,consistent_available_calls
IND052,IND052,M,consistent_available_calls
IND053,IND053,F,consistent_available_calls
IND054,IND054,U,no_sex_call
IND055,IND055,U,no_sex_call
IND056,IND056,M,consistent_available_calls
IND057,IND057,F,consistent_available_calls
IND058,IND058,U,no_sex_call
IND059,IND059,M,consistent_available_calls
IND060,IND060,M,consistent_available_calls
IND061,IND061,U,no_sex_call
IND062,IND062,U,no_sex_call
IND063,IND063,M,consistent_available_calls
IND064,IND064,F,consistent_available_calls
IND065,IND065,M,consistent_available_calls
IND066,IND066,M,consistent_available_calls
IND067,IND067,F,consistent_available_calls
IND068,IND068,F,consistent_available_calls
IND069,IND069,M,consistent_available_calls
IND070,IND070,U,no_sex_call
