IND_ID,Lab_ID,Sample_ID,Sample,Recapture,Detection_index,N_detections_individual,Individual_recaptured,longitude,latitude,Sex,Sex_status,Sample_sex,Sex_source_match,assignment,Coordinate_source,All_data_Recapture,All_data_Detection_index,.row,.lon,.lat,.id,.occ,col,row,grid_id,.idx,x,y,n_points,.clust,.id_final,.keep,Final_ID,Source_IND_ID
IND001,MT-7044,BRP_FD-01/01,MT-7044,0,1,2,1,89.280678,27.251845,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,1,89.280678,27.251845,IND001,1,33,45,G0501,1,131500,3019500,6,1,IND001,TRUE,IND001,IND001
IND001,MT-7049,BRP_FD-01/06,MT-7049,1,2,2,1,89.265909,27.247739,M,consistent_available_calls,M,matched_sex_call,original_pipeline,locations.csv,1,2,2,89.265909,27.247739,IND001,1,32,45,G0500,2,130500,3019500,8,1,IND001,TRUE,IND001,IND001
IND002,MT-7045,BRP_FD-01/02,MT-7045,0,1,1,0,89.338164,27.241356,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,3,89.338164,27.241356,IND002,1,39,44,G0482,3,137500,3018500,4,1,IND002,TRUE,IND002,IND002
IND003,MT-7046,BRP_FD-01/03,MT-7046,0,1,1,0,89.359394,27.234897,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,4,89.359394,27.234897,IND003,1,41,43,G0454,4,139500,3017500,5,1,IND003,TRUE,IND003,IND003
IND004,MT-7047,BRP_FD-01/04,MT-7047,0,1,1,0,89.359695,27.234168,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,5,89.359695,27.234168,IND004,1,41,43,G0454,5,139500,3017500,5,1,IND004,TRUE,IND004,IND004
IND005,MT-7048,BRP_FD-01/05,MT-7048,0,1,1,0,89.359903,27.235074,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,6,89.359903,27.235074,IND005,1,41,43,G0454,6,139500,3017500,5,1,IND005,TRUE,IND005,IND005
IND006,MT-7050,BRP_FD-01/07,MT-7050,0,1,1,0,89.265901,27.247698,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,7,89.265901,27.247698,IND006,1,32,45,G0500,7,130500,3019500,8,1,IND006,TRUE,IND006,IND006
IND007,MT-7051,BRP_FD-01/08,MT-7051,0,1,3,1,89.265919,27.247669,U,conflicting_calls,M,matched_sex_call,original_pipeline,locations.csv,0,1,8,89.265919,27.247669,IND007,1,32,45,G0500,8,130500,3019500,8,1,IND007,TRUE,IND007,IND007
IND007,MT-7279,BRP_PA-01/24,MT-7279,1,2,3,1,89.207179,27.155519,U,conflicting_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,2,9,89.207179,27.155519,IND007,1,26,35,G0307,9,124500,3009500,2,1,IND007,TRUE,IND007,IND007
IND007,MT-7282,BRP_PA-01/27,MT-7282,1,3,3,1,89.215412,27.211954,U,conflicting_calls,F,matched_sex_call,original_pipeline,locations.csv,1,3,10,89.215412,27.211954,IND007,1,27,41,G0421,10,125500,3015500,5,1,IND007,TRUE,IND007,IND007
IND008,MT-7052,BRP_FD-01/09,MT-7052,0,1,1,0,89.265905,27.247688,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,11,89.265905,27.247688,IND008,1,32,45,G0500,11,130500,3019500,8,1,IND008,TRUE,IND008,IND008
IND009,MT-7058,BRP_FD-01/15,MT-7058,0,1,1,0,89.266821,27.244184,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,12,89.266821,27.244184,IND009,1,32,45,G0500,12,130500,3019500,8,1,IND009,TRUE,IND009,IND009
IND010,MT-7059,BRP_FD-01/16,MT-7059,0,1,4,1,89.437381,27.539896,U,conflicting_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,13,89.437381,27.539896,IND010,1,50,77,G1210,13,148500,3051500,2,1,IND010,TRUE,IND010,IND010
IND010,MT-7061,BRP_FD-01/18,MT-7061,1,2,4,1,89.393999,27.497678,U,conflicting_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,2,14,89.393999,27.497678,IND010,1,45,72,G1085,14,143500,3046500,1,1,IND010,TRUE,IND010,IND010
IND010,MT-7062,BRP_FD-01/19,MT-7062,1,3,4,1,89.43804,27.54056,U,conflicting_calls,M,matched_sex_call,original_pipeline,locations.csv,1,3,15,89.43804,27.54056,IND010,1,50,77,G1210,15,148500,3051500,2,1,IND010,TRUE,IND010,IND010
IND010,MT-7332,BRP_PA-02/21,MT-7332,1,4,4,1,89.930267,27.72901,U,conflicting_calls,F,matched_sex_call,provisional_exact_attachment,locations.csv,1,4,16,89.930267,27.72901,IND010,1,99,96,G1507,16,197500,3070500,3,2,IND010,TRUE,IND010,IND010
IND011,MT-7060,BRP_FD-01/17,MT-7060,0,1,2,1,89.438226,27.538422,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,17,89.438226,27.538422,IND011,1,50,77,G1210,17,148500,3051500,2,1,IND011,TRUE,IND011,IND011
IND011,MT-7063,BRP_FD-01/20,MT-7063,1,2,2,1,89.394506,27.499608,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,1,2,18,89.394506,27.499608,IND011,1,45,72,G1085,18,143500,3046500,1,1,IND011,TRUE,IND011,IND011
IND012,MT-7064,BRP_FD-01/21,MT-7064,0,1,1,0,89.33836,27.421783,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,19,89.33836,27.421783,IND012,1,39,64,G0858,19,137500,3038500,4,1,IND012,TRUE,IND012,IND012
IND013,MT-7065,BRP_FD-01/22,MT-7065,0,1,2,1,89.437255,27.540198,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,20,89.437255,27.540198,IND013,1,50,77,G1210,20,148500,3051500,2,1,IND013,TRUE,IND013,IND013
IND013,MT-7068,BRP_FD-01/25,MT-7068,1,2,2,1,89.398919,27.51049,M,consistent_available_calls,M,matched_sex_call,original_pipeline,locations.csv,1,2,21,89.398919,27.51049,IND013,1,46,74,G1155,21,144500,3048500,3,1,IND013,TRUE,IND013,IND013
IND014,MT-7066,BRP_FD-01/23,MT-7066,0,1,1,0,89.401078,27.512166,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,22,89.401078,27.512166,IND014,1,46,74,G1155,22,144500,3048500,3,1,IND014,TRUE,IND014,IND014
IND015,MT-7069,BRP_FD-02/01,MT-7069,0,1,1,0,89.286204,27.022138,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,23,89.286204,27.022138,IND015,1,33,20,G0050,23,131500,2994500,8,1,IND015,TRUE,IND015,IND015
IND016,MT-7071,BRP_FD-03/02,MT-7071,0,1,2,1,89.653913,27.063511,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,24,89.653913,27.063511,IND016,1,70,23,G0125,24,168500,2997500,6,1,IND016,TRUE,IND016,IND016
IND016,MT-7076,BRP_FD-03/07,MT-7076,1,2,2,1,89.496166,27.139221,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,1,2,25,89.496166,27.139221,IND016,1,54,32,G0236,25,152500,3006500,3,2,IND016,TRUE,IND016,IND016
IND017,MT-7072,BRP_FD-03/03,MT-7072,0,1,2,1,89.545076,26.9932,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,26,89.545076,26.9932,IND017,1,59,16,G0028,26,157500,2990500,2,1,IND017,TRUE,IND017,IND017
IND017,MT-7079,BRP_FD-03/10,MT-7079,1,2,2,1,89.518795,26.96815,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,1,2,27,89.518795,26.96815,IND017,1,56,13,G0018,27,154500,2987500,2,1,IND017,TRUE,IND017,IND017
IND018,MT-7073,BRP_FD-03/04,MT-7073,0,1,3,1,89.518683,27.018611,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,28,89.518683,27.018611,IND018,1,56,19,G0039,28,154500,2993500,7,1,IND018,TRUE,IND018,IND018
