"camstn","elevation_m"
"BD_001",3002.59738424899
"BD_002",3201.86392712295
"BD_003",3388.2768245588
"BD_004",3000.40954843415
"BD_005",3162.9589296265
"BD_006",3232.1284399902
"BD_007",2683.50147405617
"BD_008",2759.72038302273
"BD_009",2630.82943396296
"BD_010",2608.91115247416
"BD_011",2593.70822782503
"BD_012",2856.4346871352
"BD_013",2154.57362520908
"BD_014",2892.0802085304
"BD_015",2713.93008484456
"BD_016",3171.15446045192
"BD_017",2795.49459005115
"BD_018",3068.29665960663
"BD_019",2303.45249451499
"BD_020",2854.56006089398
"BD_021",2539.73276539576
"BD_022",3407.50889154839
"BD_023",3275.34842837864
"BD_024",3774.14371031469
"BD_025",2407.34897339838
"BD_026",3867.26772829457
"BD_027",3439.24111768158
"BD_028",2757.60091332886
"BD_029",3434.80788939478
"BD_030",3509.82435828908
"BD_031",2335.18017274015
"BD_032",2094.83843768586
"BD_033",2304.73279637199
"BD_035",1918.91663762811
"BD_036",3032.42657818515
"BD_037",3159.48640568975
"BD_038",2382.57988766148
"BD_039",4060.5988209557
"BD_040",3857.73278593843
"BD_041",3346.64880556812
"BD_042",2140.13561010376
"BD_043",3479.27589955007
"BD_044",2584.50041834361
"BD_045",3029.76418384097
"BD_046",4142.97659741276
"BD_047",3203.27918260303
"BD_048",3730.93837540542
"BD_049",4082.23751078329
"BD_050",3155.62058445368
"BD_052",3244.25424300495
"BD_053",2847.57155824169
"BD_054",3471.02834053101
"BD_055",3197.88136135904
"BD_056",2692.90060960548
"BD_057",3746.38695036156
"BD_058",2979.22919386698
"BD_059",3387.14147501933
"BD_060",3155.21785429057
"BD_061",3020.62196065812
"BD_062",3220.8206560426
"BD_063",3729.48651506965
"BD_064",3143.44011181569
"BD_065",3553.8853005149
"BD_066",3784.996006598
"BD_067",4027.2945533269
"BWS_001",3077.12561614114
"BWS_002",2883.98976785091
"BWS_003",2585.12965011129
"BWS_004",2881.38241630235
"BWS_005",2551.17585008577
"BWS_006",3172.17869256112
"BWS_007",1973.24693805671
"BWS_008",2352.65846529085
"BWS_009",2274.97983892759
"BWS_010",2682.04186071321
"BWS_011",2851.37546145472
"BWS_012",3079.48532173288
"BWS_013",1886.60666256097
"BWS_014",2993.50531217791
"BWS_015",3394.9041268675
"BWS_016",2807.02493740166
"BWS_017",2185.09577066768
"BWS_018",3354.3707887698
"BWS_019",2826.47480164028
"BWS_020",3420.52175951487
"BWS_021",3291.02736908318
"BWS_022",3025.34350203935
"BWS_023",3265.20801409267
"BWS_024",3320.15490787879
"BWS_025",2618.95381768463
"BWS_026",2723.37025158732
"BWS_027",2781.08795704869
"BWS_028",3015.0937775474
"BWS_029",3162.96689140691
"BWS_030",2548.0285659879
"BWS_031",3414.07476923888
"BWS_032",3113.23803420538
"BWS_033",3180.034283362
"BWS_034",3075.56737744813
"BWS_035",2596.03660537925
"BWS_036",2596.60918607179
"BWS_037",2662.7241617631
"BWS_038",3641.83481146918
"BWS_039",3078.21832947953
"BWS_040",2958.72891784372
"BWS_041",3096.30257855864
"BWS_042",3278.16120502064
"BWS_043",2892.88942178686
"DA_001",2832.3948949158
"DA_002",3766.73953643601
"DA_004",3502.21685152471
"DA_005",3672.51120974732
"DA_006",2900.90561905735
"DA_007",2816.52871081902
"DA_008",3228.82299016487
"DA_010",2818.14381789512
"DA_011",2046.0364221472
"DA_012",2863.56892717051
"DA_014",2580.01948586749
"DA_015",3048.93959873769
"DA_017",2863.18431741431
"DA_020",2954.70552851483
"DA_022",1954.18011368922
"DA_023",2753.92285866926
"DA_024",2544.06102118817
"DA_026",2399.77710087609
"DA_027",1974.91827711346
"DA_028",1618.55857738118
"DA_029",2333.62090927308
"DA_030",1842.0226371161
"DA_031",1848.43457856269
"DA_032I",1948.70690017945
"DA_032II",2225.54090908612
"DA_033",2863.1227165575
"DA_035",2062.58715431545
"DA_036",1524.5666509062
"DA_037",2500.04127589819
"DA_038",1995.93275654264
"DA_039I",2121.69615591453
"DA_039II",2030.19524476313
"DA_040I",761.522567623378
"DA_040II",541.657601434036
"DA_041",1802.97185603185
"DA_043",1286.58847086174
"DA_044",1764.55810182885
"DA_046",2070.42983975392
"DA_047",1212.80668189344
"DA_048",2680.36002070877
"DA_049",2701.5447247558
"DA_050",1734.08622656242
"DA_051",1538.39369877394
"DA_052",569.280990799381
"DA_053",2356.04016517536
"DA_054I",2235.21195759758
"DA_054II",2007.0645815443
"DA_055",1380.26028471616
"DA_056I",453.656148141225
"DA_056II",396.305673351481
"DA_057",2134.78064136842
"DA_058",1975.89552974789
"DA_059",640.40225021691
"DA_060I",2263.74233904932
"DA_060II",1923.57223154092
"DA_061",1314.39613617654
"DA_062",1058.88263464287
"GD_001",2262.47055726693
"GD_002",2140.34436840186
"GD_003",1595.30040979075
"GD_004",2352.38608036231
"GD_005",3356.53635061867
"GD_006",1045.10078771239
"GD_007",1768.39636132713
"GD_008",2443.88744115383
"GD_009",2551.2183272064
"GD_010",717.112746089346
"GD_011",2915.99319915246
"GD_012",1664.10884783283
"GD_013",2993.59907714556
"GD_014",1637.00842222427
"GD_015",2714.71765574337
"GD_016",2683.09157614488
"GD_017",983.890873855421
"GD_018",2594.60963044436
"GD_019",3143.44222165098
"GD_020",2304.54977641381
"GD_022",3116.67522784088
"GD_023",3281.23404018349
"GD_024",1921.72377826709
"GD_025",2851.45331726237
"GD_026",3506.61171768953
"GD_027",1569.12713170557
"GD_028",2781.36997728705
"GD_029",1182.52015006809
"GD_030",1003.27076218848
"GD_033",2258.53583878678
"GD_034",2319.78040562901
"GD_035",1953.60337309157
"GD_036",3715.48944983464
"GD_037",1414.54124683382
"GD_038",1903.36362990395
"GD_039",3213.05686362753
"GD_040",2526.9242426116
"GD_041",1281.45465395947
"GD_042",1318.02208292369
